Sample	äwê∂é¿å±3TM_NH3	
Comments	 	
Filename	C:\Users\User1\Desktop\DATA\äwê∂é¿å±3TM\äwê∂é¿å±3TM_NH3_2É∆_É∆.raw	
Goniometer	MiniFlex 300/600 +	
Attachment	âÒì]ééóøë‰	
Monochromater	None	
X	0	
Y	0	
Z	0	
ScanningMode	2Theta/Theta	
ScanningType	Continuos Scanning	
X-Ray	40kV/15mA	
IHS	5.0mm	
DS	1.250deg	
SS	13.0mm(Open)	
RS	13.0mm(Open)	
K-beta(x1)		
Start	20	
Stop	80	
Step	0.01	
Speed	1	
Offset	0	10539
24.24	1384	273.1321757
24.25	1239	271.7563336
24.26	1063	270.086346
24.27	981	269.3082835
24.28	955	269.0615808
24.29	952	269.0331151
24.3	933	268.8528323
24.31	871	268.2645412
24.32	884	268.3878926
24.33	882	268.3689155
24.34	880	268.3499383
24.35	856	268.1222127
24.36	870	268.2550527
24.37	899	268.5302211
24.38	905	268.5871525
24.39	869	268.2455641
24.4	871	268.2645412
24.41	864	268.1981213
24.42	875	268.3024955
24.43	856	268.1222127
24.44	889	268.4353354
24.45	866	268.2170984
24.46	865	268.2076098
24.47	869	268.2455641
24.48	857	268.1317013
24.49	867	268.226587
24.5	827	267.8470443
24.51	856	268.1222127
24.52	841	267.9798842
24.53	848	268.0463042
24.54	859	268.1506784
24.55	871	268.2645412
24.56	856	268.1222127
24.57	858	268.1411899
24.58	875	268.3024955
24.59	854	268.1032356
24.6	834	267.9134643
24.61	869	268.2455641
24.62	852	268.0842585
24.63	822	267.7996015
24.64	805	267.6382959
24.65	849	268.0557928
24.66	857	268.1317013
24.67	869	268.2455641
24.68	822	267.7996015
24.69	828	267.8565329
24.7	846	268.0273271
24.71	810	267.6857387
24.72	834	267.9134643
24.73	884	268.3878926
24.74	850	268.0652813
24.75	860	268.160167
24.76	837	267.94193
24.77	832	267.8944871
24.78	828	267.8565329
24.79	835	267.9229528
24.8	878	268.3309612
24.81	855	268.1127242
24.82	854	268.1032356
24.83	848	268.0463042
24.84	850	268.0652813
24.85	862	268.1791441
24.86	876	268.3119841
24.87	860	268.160167
24.88	836	267.9324414
24.89	826	267.8375557
24.9	827	267.8470443
24.91	832	267.8944871
24.92	867	268.226587
24.93	839	267.9609071
24.94	837	267.94193
24.95	836	267.9324414
24.96	869	268.2455641
24.97	865	268.2076098
24.98	865	268.2076098
24.99	853	268.093747
25	843	267.9988614
25.01	832	267.8944871
25.02	862	268.1791441
25.03	856	268.1222127
25.04	833	267.9039757
25.05	860	268.160167
25.06	858	268.1411899
25.07	841	267.9798842
25.08	860	268.160167
25.09	836	267.9324414
25.1	846	268.0273271
25.11	828	267.8565329
25.12	834	267.9134643
25.13	806	267.6477844
25.14	847	268.0368156
25.15	850	268.0652813
25.16	862	268.1791441
25.17	811	267.6952273
25.18	848	268.0463042
25.19	875	268.3024955
25.2	828	267.8565329
25.21	847	268.0368156
