1 _ 1,,,,,,,,,,
時間,試験力,ストローク,変位計1,変位計2,応力,ストローク(ひずみ),変位,変位(ひずみ),変位計1(ひずみ),変位計2(ひずみ)
sec,N,mm,mm,mm,N/mm2,%,mm,%,%,%
0.66,11.111,0.005491666,-0.005989928,0.007636408,2.2222,0.005491666,-0.005989928,-0.01197986,-0.01197986,0.01527282
0.67,11.3375,0.005575,-0.006092348,0.00777012,2.2675,0.005575,-0.006092348,-0.0121847,-0.0121847,0.01554024
0.68,11.572,0.005658333,-0.006194692,0.007903504,2.3144,0.005658333,-0.006194692,-0.01238938,-0.01238938,0.01580701
0.69,11.8135,0.005741667,-0.006297048,0.008036656,2.3627,0.005741667,-0.006297048,-0.0125941,-0.0125941,0.01607331
0.7,12.061,0.005825,-0.006399448,0.008169592,2.4122,0.005825,-0.006399448,-0.0127989,-0.0127989,0.01633918
0.71,12.311,0.005908333,-0.00650192,0.008302264,2.4622,0.005908333,-0.00650192,-0.01300384,-0.01300384,0.01660453
0.72,12.5615,0.005991667,-0.006604336,0.008434736,2.5123,0.005991667,-0.006604336,-0.01320867,-0.01320867,0.01686947
0.73,12.8115,0.006066667,-0.006706592,0.008567076,2.5623,0.006066667,-0.006706592,-0.01341318,-0.01341318,0.01713415
0.74,13.059,0.006158333,-0.006808568,0.008699344,2.6118,0.006158333,-0.006808568,-0.01361714,-0.01361714,0.01739869
0.75,13.3015,0.006241667,-0.006910204,0.008831648,2.6603,0.006241667,-0.006910204,-0.01382041,-0.01382041,0.0176633
0.76,13.5385,0.006325,-0.007011416,0.008964048,2.7077,0.006325,-0.007011416,-0.01402283,-0.01402283,0.0179281
0.77,13.7705,0.006408333,-0.00711226,0.009096416,2.7541,0.006408333,-0.00711226,-0.01422452,-0.01422452,0.01819283
0.78,13.9965,0.006483333,-0.007212716,0.00922856,2.7993,0.006483333,-0.007212716,-0.01442543,-0.01442543,0.01845712
0.79,14.217,0.006575,-0.007312688,0.009360257,2.8434,0.006575,-0.007312688,-0.01462538,-0.01462538,0.01872051
0.8,14.4355,0.006658333,-0.00741204,0.009491272,2.8871,0.006658333,-0.00741204,-0.01482408,-0.01482408,0.01898254
0.81,14.6545,0.006733333,-0.00751074,0.009621392,2.9309,0.006733333,-0.00751074,-0.01502148,-0.01502148,0.01924278
0.82,14.8735,0.006825,-0.007608708,0.009750476,2.9747,0.006825,-0.007608708,-0.01521742,-0.01521742,0.01950095
0.83,15.0955,0.006908333,-0.007705964,0.009878464,3.0191,0.006908333,-0.007705964,-0.01541193,-0.01541193,0.01975693
0.84,15.32,0.006991667,-0.007802532,0.01000543,3.064,0.006991667,-0.007802532,-0.01560506,-0.01560506,0.02001086
0.85,15.5485,0.007075,-0.007898496,0.01013149,3.1097,0.007075,-0.007898496,-0.01579699,-0.01579699,0.02026298
0.86,15.78,0.007158333,-0.00799386,0.01025677,3.156,0.007158333,-0.00799386,-0.01598772,-0.01598772,0.02051354
0.87,16.013,0.007241667,-0.00808868,0.01038147,3.2026,0.007241667,-0.00808868,-0.01617736,-0.01617736,0.02076294
0.88,16.2495,0.007325,-0.008183172,0.01050591,3.2499,0.007325,-0.008183172,-0.01636634,-0.01636634,0.02101182
0.89,16.4885,0.007408333,-0.008277652,0.01063026,3.2977,0.007408333,-0.008277652,-0.0165553,-0.0165553,0.02126053
0.9,16.728,0.007491667,-0.008372276,0.01075466,3.3456,0.007491667,-0.008372276,-0.01674455,-0.01674455,0.02150932
0.91,16.965,0.007575,-0.008467056,0.01087905,3.393,0.007575,-0.008467056,-0.01693411,-0.01693411,0.0217581
0.92,17.199,0.007658334,-0.00856198,0.01100338,3.4398,0.007658334,-0.00856198,-0.01712396,-0.01712396,0.02200677
0.93,17.4305,0.007741667,-0.008657129,0.01112776,3.4861,0.007741667,-0.008657129,-0.01731426,-0.01731426,0.02225553
0.94,17.6575,0.007825,-0.008752472,0.01125226,3.5315,0.007825,-0.008752472,-0.01750494,-0.01750494,0.02250451
0.95,17.881,0.007908333,-0.008848016,0.01137692,3.5762,0.007908333,-0.008848016,-0.01769603,-0.01769603,0.02275383
0.96,18.1045,0.007991667,-0.008943556,0.01150189,3.6209,0.007991667,-0.008943556,-0.01788711,-0.01788711,0.02300378
0.97,18.328,0.008075,-0.00903902,0.01162716,3.6656,0.008075,-0.00903902,-0.01807804,-0.01807804,0.02325431
0.98,18.553,0.008158334,-0.009134296,0.01175255,3.7106,0.008158334,-0.009134296,-0.01826859,-0.01826859,0.0235051
0.99,18.78,0.008233333,-0.009229248,0.0118778,3.756,0.008233333,-0.009229248,-0.0184585,-0.0184585,0.02375559
1,19.01,0.008325,-0.009323732,0.01200275,3.802,0.008325,-0.009323732,-0.01864746,-0.01864746,0.0240055
1.01,19.2425,0.008408333,-0.009417708,0.01212721,3.8485,0.008408333,-0.009417708,-0.01883542,-0.01883542,0.02425442
1.02,19.476,0.008491667,-0.009511112,0.01225105,3.8952,0.008491667,-0.009511112,-0.01902222,-0.01902222,0.0245021
1.03,19.7085,0.008575,-0.009603888,0.01237414,3.9417,0.008575,-0.009603888,-0.01920778,-0.01920778,0.02474827
1.04,19.9385,0.008658334,-0.009695836,0.01249637,3.9877,0.008658334,-0.009695836,-0.01939167,-0.01939167,0.02499274
1.05,20.166,0.008741667,-0.009786928,0.01261763,4.0332,0.008741667,-0.009786928,-0.01957386,-0.01957386,0.02523526
1.06,20.3895,0.008825,-0.009877192,0.01273794,4.0779,0.008825,-0.009877192,-0.01975438,-0.01975438,0.02547588
1.07,20.6065,0.008908333,-0.009966768,0.0128574,4.1213,0.008908333,-0.009966768,-0.01993354,-0.01993354,0.02571479
1.08,20.82,0.008991667,-0.01005588,0.01297614,4.164,0.008991667,-0.01005588,-0.02011176,-0.02011176,0.02595227
1.09,21.034,0.009075,-0.01014479,0.01309419,4.2068,0.009075,-0.01014479,-0.02028958,-0.02028958,0.02618838
1.1,21.2515,0.009158334,-0.01023362,0.01321165,4.2503,0.009158334,-0.01023362,-0.02046725,-0.02046725,0.02642331
1.11,21.472,0.009241667,-0.01032254,0.0133286,4.2944,0.009241667,-0.01032254,-0.02064507,-0.02064507,0.02665721
1.12,21.694,0.009316667,-0.01041163,0.01344528,4.3388,0.009316667,-0.01041163,-0.02082326,-0.02082326,0.02689057
1.13,21.9175,0.009408333,-0.01050091,0.01356193,4.3835,0.009408333,-0.01050091,-0.02100182,-0.02100182,0.02712386
1.14,22.1455,0.009491667,-0.01059024,0.01367872,4.4291,0.009491667,-0.01059024,-0.02118049,-0.02118049,0.02735744
1.15,22.3785,0.009575,-0.01067961,0.01379583,4.4757,0.009575,-0.01067961,-0.02135922,-0.02135922,0.02759166
1.16,22.6165,0.009658334,-0.0107689,0.01391343,4.5233,0.009658334,-0.0107689,-0.02153779,-0.02153779,0.02782686
1.17,22.8585,0.009741667,-0.01085812,0.01403163,4.5717,0.009741667,-0.01085812,-0.02171624,-0.02171624,0.02806326
1.18,23.1045,0.009825001,-0.01094735,0.01415033,4.6209,0.009825001,-0.01094735,-0.0218947,-0.0218947,0.02830067
1.19,23.3535,0.009908333,-0.01103662,0.01426919,4.6707,0.009908333,-0.01103662,-0.02207323,-0.02207323,0.02853838
1.2,23.607,0.009983334,-0.01112576,0.0143879,4.7214,0.009983334,-0.01112576,-0.02225152,-0.02225152,0.02877581
1.21,23.8635,0.010075,-0.01121467,0.01450631,4.7727,0.010075,-0.01121467,-0.02242935,-0.02242935,0.02901262
1.22,24.119,0.01015833,-0.0113031,0.0146243,4.8238,0.01015833,-0.0113031,-0.02260621,-0.02260621,0.0292486
1.23,24.3725,0.01024167,-0.01139096,0.01474174,4.8745,0.01024167,-0.01139096,-0.02278192,-0.02278192,0.02948348
1.24,24.6255,0.010325,-0.01147815,0.01485863,4.9251,0.010325,-0.01147815,-0.0229563,-0.0229563,0.02971726
1.25,24.8775,0.01040833,-0.01156469,0.01497492,4.9755,0.01040833,-0.01156469,-0.02312938,-0.02312938,0.02994985
1.26,25.129,0.01049167,-0.01165075,0.01509049,5.0258,0.01049167,-0.01165075,-0.0233015,-0.0233015,0.03018099
1.27,25.382,0.010575,-0.0117366,0.01520527,5.0764,0.010575,-0.0117366,-0.0234732,-0.0234732,0.03041054
1.28,25.637,0.01065833,-0.01182228,0.01531939,5.1274,0.01065833,-0.01182228,-0.02364455,-0.02364455,0.03063878
1.29,25.894,0.01074167,-0.0119078,0.01543294,5.1788,0.01074167,-0.0119078,-0.0238156,-0.0238156,0.03086589
1.3,26.15,0.010825,-0.0119931,0.01554601,5.23,0.010825,-0.0119931,-0.02398621,-0.02398621,0.03109203
1.31,26.4045,0.01090833,-0.01207812,0.0156587,5.2809,0.01090833,-0.01207812,-0.02415624,-0.02415624,0.03131739
1.32,26.657,0.01099167,-0.01216276,0.01577108,5.3314,0.01099167,-0.01216276,-0.02432553,-0.02432553,0.03154217
1.33,26.911,0.011075,-0.01224704,0.01588323,5.3822,0.011075,-0.01224704,-0.02449409,-0.02449409,0.03176646
1.34,27.168,0.01115833,-0.01233083,0.01599526,5.4336,0.01115833,-0.01233083,-0.02466166,-0.02466166,0.03199053
1.35,27.429,0.01124167,-0.01241411,0.01610726,5.4858,0.01124167,-0.01241411,-0.02482822,-0.02482822,0.03221452
1.36,27.6905,0.011325,-0.01249697,0.01621924,5.5381,0.011325,-0.01249697,-0.02499394,-0.02499394,0.03243847
1.37,27.95,0.01140833,-0.01257952,0.01633112,5.59,0.01140833,-0.01257952,-0.02515905,-0.02515905,0.03266224
1.38,28.2035,0.01148333,-0.01266178,0.01644289,5.6407,0.01148333,-0.01266178,-0.02532357,-0.02532357,0.03288577
1.39,28.447,0.011575,-0.01274387,0.01655445,5.6894,0.011575,-0.01274387,-0.02548774,-0.02548774,0.0331089
1.4,28.681,0.01165833,-0.01282579,0.01666574,5.7362,0.01165833,-0.01282579,-0.02565159,-0.02565159,0.03333149
1.41,28.9065,0.01174167,-0.0129075,0.01677671,5.7813,0.01174167,-0.0129075,-0.025815,-0.025815,0.03355341
1.42,29.1265,0.011825,-0.01298881,0.01688739,5.8253,0.011825,-0.01298881,-0.02597762,-0.02597762,0.03377479
1.43,29.3405,0.01190833,-0.0130697,0.01699778,5.8681,0.01190833,-0.0130697,-0.02613939,-0.02613939,0.03399557
1.44,29.549,0.01199167,-0.0131502,0.01710782,5.909801,0.01199167,-0.0131502,-0.0263004,-0.0263004,0.03421564
1.45,29.7545,0.012075,-0.01323039,0.01721755,5.9509,0.012075,-0.01323039,-0.02646078,-0.02646078,0.0344351
1.46,29.9595,0.01215833,-0.01331026,0.01732716,5.9919,0.01215833,-0.01331026,-0.02662051,-0.02662051,0.03465433
1.47,30.1655,0.01224167,-0.01338994,0.01743662,6.0331,0.01224167,-0.01338994,-0.02677988,-0.02677988,0.03487324
1.48,30.3765,0.012325,-0.01346945,0.01754575,6.0753,0.012325,-0.01346945,-0.0269389,-0.0269389,0.0350915
1.49,30.5975,0.01240833,-0.01354884,0.01765441,6.1195,0.01240833,-0.01354884,-0.02709767,-0.02709767,0.03530882
1.5,30.8305,0.01249167,-0.0136281,0.01776266,6.166101,0.01249167,-0.0136281,-0.0272562,-0.0272562,0.03552533
1.51,31.0775,0.01256667,-0.01370722,0.01787058,6.2155,0.01256667,-0.01370722,-0.02741445,-0.02741445,0.03574116
1.52,31.3345,0.01265833,-0.01378614,0.01797822,6.2669,0.01265833,-0.01378614,-0.02757229,-0.02757229,0.03595644
1.53,31.598,0.01274167,-0.01386495,0.0180856,6.3196,0.01274167,-0.01386495,-0.0277299,-0.0277299,0.0361712
1.54,31.863,0.012825,-0.01394368,0.01819274,6.3726,0.012825,-0.01394368,-0.02788737,-0.02788737,0.03638547
1.55,32.127,0.01290833,-0.01402237,0.01829968,6.4254,0.01290833,-0.01402237,-0.02804475,-0.02804475,0.03659936
1.56,32.3885,0.01299167,-0.0141009,0.01840661,6.4777,0.01299167,-0.0141009,-0.02820181,-0.02820181,0.03681322
1.57,32.647,0.013075,-0.01417926,0.01851348,6.5294,0.013075,-0.01417926,-0.02835852,-0.02835852,0.03702697
1.58,32.9015,0.01315833,-0.01425734,0.01862026,6.5803,0.01315833,-0.01425734,-0.02851469,-0.02851469,0.03724053
1.59,33.152,0.01324167,-0.01433514,0.01872682,6.6304,0.01324167,-0.01433514,-0.02867027,-0.02867027,0.03745363
1.6,33.3985,0.013325,-0.01441267,0.018833,6.6797,0.013325,-0.01441267,-0.02882534,-0.02882534,0.03766599
1.61,33.64,0.01340833,-0.01449,0.0189386,6.728,0.01340833,-0.01449,-0.02898,-0.02898,0.0378772
1.62,33.876,0.01349167,-0.01456709,0.0190436,6.775201,0.01349167,-0.01456709,-0.02913418,-0.02913418,0.03808721
1.63,34.11,0.013575,-0.01464395,0.01914802,6.822,0.013575,-0.01464395,-0.0292879,-0.0292879,0.03829604
1.64,34.344,0.01365,-0.01472048,0.01925203,6.8688,0.01365,-0.01472048,-0.02944095,-0.02944095,0.03850406
1.65,34.5805,0.01374167,-0.01479669,0.01935575,6.9161,0.01374167,-0.01479669,-0.02959338,-0.02959338,0.0387115
1.66,34.8185,0.013825,-0.0148726,0.01945924,6.9637,0.013825,-0.0148726,-0.02974521,-0.02974521,0.03891847
1.67,35.0595,0.01390833,-0.01494827,0.01956252,7.0119,0.01390833,-0.01494827,-0.02989654,-0.02989654,0.03912503
1.68,35.3005,0.01399167,-0.01502369,0.01966562,7.0601,0.01399167,-0.01502369,-0.03004739,-0.03004739,0.03933124
1.69,35.538,0.014075,-0.01509883,0.01976852,7.1076,0.014075,-0.01509883,-0.03019766,-0.03019766,0.03953703
1.7,35.7705,0.01415833,-0.01517358,0.01987125,7.154099,0.01415833,-0.01517358,-0.03034717,-0.03034717,0.0397425
1.71,35.9995,0.01424167,-0.01524801,0.01997389,7.1999,0.01424167,-0.01524801,-0.03049602,-0.03049602,0.03994778
