"1 _ 1",,,,,,,,,,
"時間","試験力","ストローク","変位計1","変位計2","応力","ストローク(ひずみ)","変位","変位(ひずみ)","変位計1(ひずみ)","変位計2(ひずみ)"
"sec","N","mm","mm","mm","N/mm2","%","mm","%","%","%"
"0.81","28.711","0.006733333","0.0001355139","0.0002085225","5.7422","0.006733333","0.0001355139","0.002710277","0.002710277","0.00417045"
"0.82","29.1335","0.006816667","0.0001374524","0.0002114859","5.8267","0.006816667","0.0001374524","0.002749048","0.002749048","0.004229717"
"0.83","29.553","0.006891667","0.0001393895","0.0002144599","5.9106","0.006891667","0.0001393895","0.002787789","0.002787789","0.004289198"
"0.84","29.9725","0.006983333","0.000141328","0.0002174418","5.9945","0.006983333","0.000141328","0.002826559","0.002826559","0.004348836"
"0.85","30.394","0.007058334","0.0001432703","0.0002204273","6.0788","0.007058334","0.0001432703","0.002865406","0.002865406","0.004408545"
"0.86","30.8155","0.00715","0.0001452186","0.0002234163","6.1631","0.00715","0.0001452186","0.002904371","0.002904371","0.004468326"
"0.87","31.239","0.007233333","0.0001471711","0.0002264066","6.2478","0.007233333","0.0001471711","0.002943422","0.002943422","0.004528131"
"0.88","31.6645","0.007308334","0.0001491287","0.0002293987","6.3329","0.007308334","0.0001491287","0.002982573","0.002982573","0.004587974"
"0.89","32.094","0.007391667","0.0001510895","0.0002323925","6.4188","0.007391667","0.0001510895","0.003021791","0.003021791","0.00464785"
"0.9","32.5245","0.007475","0.0001530545","0.000235387","6.5049","0.007475","0.0001530545","0.003061089","0.003061089","0.00470774"
"0.91","32.9535","0.007558333","0.0001550211","0.0002383803","6.5907","0.007558333","0.0001550211","0.003100422","0.003100422","0.004767607"
"0.92","33.382","0.00765","0.0001569881","0.0002413741","6.6764","0.00765","0.0001569881","0.003139763","0.003139763","0.004827483"
"0.93","33.8105","0.007725","0.0001589497","0.000244367","6.7621","0.007725","0.0001589497","0.003178995","0.003178995","0.00488734"
"0.94","34.237","0.007816667","0.0001609025","0.0002473608","6.8474","0.007816667","0.0001609025","0.00321805","0.00321805","0.004947216"
"0.95","34.658","0.007900001","0.0001628427","0.0002503555","6.9316","0.007900001","0.0001628427","0.003256854","0.003256854","0.005007111"
"0.96","35.0715","0.007975","0.0001647726","0.0002533529","7.0143","0.007975","0.0001647726","0.003295453","0.003295453","0.005067058"
"0.97","35.478","0.008066666","0.0001666933","0.0002563541","7.0956","0.008066666","0.0001666933","0.003333866","0.003333866","0.005127082"
