1 _ 1,,,,,,,,,,
時間,試験力,ストローク,変位計1,変位計2,応力,ストローク(ひずみ),変位,変位(ひずみ),変位計1(ひずみ),変位計2(ひずみ)
sec,N,mm,mm,mm,N/mm2,%,mm,%,%,%
0.93,23.4805,0.007725,0.000794844,0.000212852,4.6961,0.007725,0.000794844,0.001589688,0.001589688,0.000425704
0.94,23.9105,0.007816667,0.00080858,0.000216696,4.7821,0.007816667,0.00080858,0.00161716,0.00161716,0.000433392
0.95,24.3405,0.007891667,0.000822272,0.000220428,4.8681,0.007891667,0.000822272,0.001644544,0.001644544,0.000440856
0.96,24.769,0.007983333,0.000835992,0.000224076,4.9538,0.007983333,0.000835992,0.001671984,0.001671984,0.000448152
0.97,25.189,0.008066666,0.000849812,0.000227516,5.0378,0.008066666,0.000849812,0.001699624,0.001699624,0.000455032
0.98,25.598,0.00815,0.000863796,0.000230656,5.1196,0.00815,0.000863796,0.001727592,0.001727592,0.000461312
0.99,25.994,0.008233333,0.000877904,0.000233556,5.1988,0.008233333,0.000877904,0.001755808,0.001755808,0.000467112
1,26.381,0.008316667,0.000892072,0.000236248,5.2762,0.008316667,0.000892072,0.001784144,0.001784144,0.000472496
1.01,26.765,0.0084,0.000906176,0.000238728,5.353,0.0084,0.000906176,0.001812352,0.001812352,0.000477456
1.02,27.147,0.008483334,0.000920128,0.000241164,5.4294,0.008483334,0.000920128,0.001840256,0.001840256,0.000482328
1.03,27.531,0.008558334,0.000933792,0.000243724,5.5062,0.008558334,0.000933792,0.001867584,0.001867584,0.000487448
1.04,27.915,0.00865,0.00094722,0.000246668,5.583,0.00865,0.00094722,0.00189444,0.00189444,0.000493336
1.05,28.2955,0.008733333,0.00096052,0.000250148,5.6591,0.008733333,0.00096052,0.00192104,0.00192104,0.000500296
1.06,28.6725,0.008808333,0.0009737,0.00025412,5.7345,0.008808333,0.0009737,0.0019474,0.0019474,0.00050824
1.07,29.047,0.0089,0.000986704,0.000258472,5.8094,0.0089,0.000986704,0.001973408,0.001973408,0.000516944
1.08,29.4195,0.008983334,0.00099956,0.000263116,5.8839,0.008983334,0.00099956,0.00199912,0.00199912,0.000526232
1.09,29.79,0.009066666,0.001012304,0.000267932,5.958,0.009066666,0.001012304,0.002024608,0.002024608,0.000535864
1.1,30.161,0.00915,0.001025072,0.000272884,6.0322,0.00915,0.001025072,0.002050144,0.002050144,0.000545768
1.11,30.5325,0.009225,0.0010379,0.000277884,6.1065,0.009225,0.0010379,0.0020758,0.0020758,0.000555768
1.12,30.9055,0.009316667,0.001050768,0.000282892,6.1811,0.009316667,0.001050768,0.002101536,0.002101536,0.000565784
1.13,31.283,0.0094,0.001063608,0.000287788,6.2566,0.0094,0.001063608,0.002127216,0.002127216,0.000575576
1.14,31.668,0.009483334,0.00107656,0.000292496,6.3336,0.009483334,0.00107656,0.00215312,0.00215312,0.000584992
1.15,32.0625,0.009566667,0.00108962,0.000296932,6.4125,0.009566667,0.00108962,0.00217924,0.00217924,0.000593864
1.16,32.467,0.00965,0.001102656,0.000301116,6.4934,0.00965,0.001102656,0.002205312,0.002205312,0.000602232
1.17,32.881,0.009733333,0.001115572,0.000304964,6.5762,0.009733333,0.001115572,0.002231144,0.002231144,0.000609928
1.18,33.3025,0.009816667,0.001128336,0.0003085,6.660501,0.009816667,0.001128336,0.002256672,0.002256672,0.000617
1.19,33.7285,0.0099,0.001140912,0.000311828,6.7457,0.0099,0.001140912,0.002281824,0.002281824,0.000623656
1.2,34.155,0.009983334,0.001153376,0.00031508,6.831,0.009983334,0.001153376,0.002306752,0.002306752,0.00063016
1.21,34.58,0.01005833,0.001165756,0.000318228,6.915999,0.01005833,0.001165756,0.002331512,0.002331512,0.000636456
1.22,35.0015,0.01015,0.001178108,0.000321264,7.0003,0.01015,0.001178108,0.002356216,0.002356216,0.000642528
1.23,35.419,0.01023333,0.00119052,0.000324256,7.0838,0.01023333,0.00119052,0.00238104,0.00238104,0.000648512
1.24,35.831,0.01031667,0.001203104,0.000327324,7.1662,0.01031667,0.001203104,0.002406208,0.002406208,0.000654648
1.25,36.2385,0.0104,0.001215932,0.000330588,7.2477,0.0104,0.001215932,0.002431864,0.002431864,0.000661176
1.26,36.6405,0.01048333,0.00122906,0.000334196,7.3281,0.01048333,0.00122906,0.00245812,0.00245812,0.000668392
1.27,37.0345,0.01056667,0.001242484,0.000338204,7.4069,0.01056667,0.001242484,0.002484968,0.002484968,0.000676408
1.28,37.4185,0.01065,0.001256192,0.0003426,7.4837,0.01065,0.001256192,0.002512384,0.002512384,0.0006852
1.29,37.7935,0.01073333,0.00127008,0.000347252,7.5587,0.01073333,0.00127008,0.00254016,0.00254016,0.000694504
1.3,38.1615,0.01081667,0.001284068,0.000352104,7.6323,0.01081667,0.001284068,0.002568136,0.002568136,0.000704208
1.31,38.528,0.0109,0.001297988,0.000357096,7.7056,0.0109,0.001297988,0.002595976,0.002595976,0.000714192
1.32,38.8975,0.01098333,0.001311732,0.000362212,7.7795,0.01098333,0.001311732,0.002623464,0.002623464,0.000724424
1.33,39.2725,0.01106667,0.001325308,0.000367412,7.8545,0.01106667,0.001325308,0.002650616,0.002650616,0.000734824
1.34,39.6535,0.01114167,0.001338896,0.000372688,7.9307,0.01114167,0.001338896,0.002677792,0.002677792,0.000745376
1.35,40.044,0.01123333,0.001352588,0.000378028,8.0088,0.01123333,0.001352588,0.002705176,0.002705176,0.000756056
1.36,40.442,0.01131667,0.001366348,0.000383492,8.0884,0.01131667,0.001366348,0.002732696,0.002732696,0.000766984
1.37,40.847,0.0114,0.001380104,0.000389068,8.1694,0.0114,0.001380104,0.002760208,0.002760208,0.000778136
1.38,41.2535,0.01148333,0.001393848,0.000394724,8.2507,0.01148333,0.001393848,0.002787696,0.002787696,0.000789448
1.39,41.658,0.01156667,0.001407564,0.000400268,8.3316,0.01156667,0.001407564,0.002815128,0.002815128,0.000800536
1.4,42.0615,0.01165,0.001421336,0.000405508,8.4123,0.01165,0.001421336,0.002842672,0.002842672,0.000811016
1.41,42.4655,0.01173333,0.00143518,0.00041032,8.4931,0.01173333,0.00143518,0.00287036,0.00287036,0.00082064
1.42,42.871,0.01181667,0.001449056,0.000414724,8.5742,0.01181667,0.001449056,0.002898112,0.002898112,0.000829448
1.43,43.278,0.0119,0.001462816,0.000418804,8.6556,0.0119,0.001462816,0.002925632,0.002925632,0.000837608
1.44,43.6875,0.01198333,0.001476364,0.00042264,8.7375,0.01198333,0.001476364,0.002952728,0.002952728,0.00084528
1.45,44.097,0.01206667,0.001489556,0.000426244,8.8194,0.01206667,0.001489556,0.002979112,0.002979112,0.000852488
1.46,44.506,0.01215,0.001502344,0.000429708,8.901199,0.01215,0.001502344,0.003004688,0.003004688,0.000859416
1.47,44.913,0.01223333,0.0015147,0.000433108,8.9826,0.01223333,0.0015147,0.0030294,0.0030294,0.000866216
1.48,45.3175,0.01231667,0.001526748,0.000436532,9.0635,0.01231667,0.001526748,0.003053496,0.003053496,0.000873064
1.49,45.72,0.0124,0.001538596,0.000440088,9.144,0.0124,0.001538596,0.003077192,0.003077192,0.000880176
1.5,46.119,0.01248333,0.001550324,0.000443888,9.2238,0.01248333,0.001550324,0.003100648,0.003100648,0.000887776
1.51,46.514,0.01256667,0.001561928,0.000447908,9.3028,0.01256667,0.001561928,0.003123856,0.003123856,0.000895816
1.52,46.9045,0.01265,0.001573544,0.000452096,9.380899,0.01265,0.001573544,0.003147088,0.003147088,0.000904192
1.53,47.292,0.01273333,0.001585252,0.00045634,9.4584,0.01273333,0.001585252,0.003170504,0.003170504,0.00091268
1.54,47.683,0.01281667,0.001597124,0.000460548,9.5366,0.01281667,0.001597124,0.003194248,0.003194248,0.000921096
1.55,48.0795,0.0129,0.001609188,0.00046466,9.6159,0.0129,0.001609188,0.003218376,0.003218376,0.00092932
1.56,48.481,0.01298333,0.001621528,0.000468672,9.696199,0.01298333,0.001621528,0.003243056,0.003243056,0.000937344
1.57,48.885,0.01306667,0.001634188,0.000472684,9.776999,0.01306667,0.001634188,0.003268376,0.003268376,0.000945368
1.58,49.2915,0.01315,0.001647228,0.000476896,9.8583,0.01315,0.001647228,0.003294456,0.003294456,0.000953792
1.59,49.7,0.01323333,0.001660676,0.00048142,9.940001,0.01323333,0.001660676,0.003321352,0.003321352,0.00096284
1.6,50.1115,0.01331667,0.001674496,0.000486296,10.0223,0.01331667,0.001674496,0.003348992,0.003348992,0.000972592
1.61,50.524,0.0134,0.001688416,0.000491504,10.1048,0.0134,0.001688416,0.003376832,0.003376832,0.000983008
1.62,50.9375,0.01348333,0.00170224,0.00049704,10.1875,0.01348333,0.00170224,0.00340448,0.00340448,0.00099408
1.63,51.349,0.01356667,0.001715888,0.000502812,10.2698,0.01356667,0.001715888,0.003431776,0.003431776,0.001005624
1.64,51.7575,0.01365,0.001729332,0.000508736,10.3515,0.01365,0.001729332,0.003458664,0.003458664,0.001017472
1.65,52.162,0.01373333,0.001742456,0.000514724,10.4324,0.01373333,0.001742456,0.003484912,0.003484912,0.001029448
1.66,52.5645,0.01381667,0.001755232,0.000520684,10.5129,0.01381667,0.001755232,0.003510464,0.003510464,0.001041368
1.67,52.968,0.0139,0.001767744,0.000526424,10.5936,0.0139,0.001767744,0.003535488,0.003535488,0.001052848
1.68,53.3725,0.01398333,0.0017802,0.000531724,10.6745,0.01398333,0.0017802,0.0035604,0.0035604,0.001063448
1.69,53.7785,0.01406667,0.001792712,0.000536392,10.7557,0.01406667,0.001792712,0.003585424,0.003585424,0.001072784
1.7,54.1835,0.01415,0.001805376,0.000540432,10.8367,0.01415,0.001805376,0.003610752,0.003610752,0.001080864
1.71,54.586,0.01423333,0.00181826,0.000543956,10.9172,0.01423333,0.00181826,0.00363652,0.00363652,0.001087912
1.72,54.9855,0.01431667,0.00183146,0.00054712,10.9971,0.01431667,0.00183146,0.00366292,0.00366292,0.00109424
1.73,55.3865,0.0144,0.001844924,0.000549972,11.0773,0.0144,0.001844924,0.003689848,0.003689848,0.001099944
1.74,55.789,0.01448333,0.001858688,0.000552596,11.1578,0.01448333,0.001858688,0.003717376,0.003717376,0.001105192
1.75,56.1935,0.01456667,0.001872544,0.000555056,11.2387,0.01456667,0.001872544,0.003745088,0.003745088,0.001110112
1.76,56.5975,0.01465,0.00188624,0.000557472,11.3195,0.01465,0.00188624,0.00377248,0.00377248,0.001114944
1.77,56.9985,0.01473333,0.001899616,0.000559968,11.3997,0.01473333,0.001899616,0.003799232,0.003799232,0.001119936
