Simul_number,Time,A,c0,Mobility,k,Energy,c_mean
178,499.95,0.96,0.35,1,0.5,0.019558,0.3501
179,499.95,0.97,0.35,1,0.5,0.018828,0.35
180,499.95,0.98,0.35,1,0.5,0.019813,0.3499
181,499.95,0.99,0.35,1,0.5,0.019938,0.35
182,499.95,1.0,0.35,1,0.5,0.019484,0.3501
183,499.95,1.01,0.35,1,0.5,0.018235,0.3501
184,499.95,1.02,0.35,1,0.5,0.020164,0.35
185,499.95,1.03,0.35,1,0.5,0.020778,0.35
186,499.95,1.04,0.35,1,0.5,0.019848,0.3501
187,499.95,1.05,0.35,1,0.5,0.02005,0.35
188,499.95,1.06,0.35,1,0.5,0.018829,0.35
189,499.95,1.07,0.35,1,0.5,0.021456,0.3501
190,499.95,1.08,0.35,1,0.5,0.01998,0.3499
191,499.95,1.09,0.35,1,0.5,0.021173,0.3501
192,499.95,1.1,0.35,1,0.5,0.019739,0.3501
193,499.95,1.11,0.35,1,0.5,0.021243,0.3501
194,499.95,1.12,0.35,1,0.5,0.02059,0.3498
195,499.95,1.13,0.35,1,0.5,0.02116,0.3498
196,499.95,1.14,0.35,1,0.5,0.021313,0.3499
197,499.95,1.15,0.35,1,0.5,0.020419,0.3501
198,499.95,1.16,0.35,1,0.5,0.02208,0.3499
199,499.95,1.17,0.35,1,0.5,0.022141,0.3499
200,499.95,1.18,0.35,1,0.5,0.022319,0.35
201,499.95,1.19,0.35,1,0.5,0.019243,0.3499
202,499.95,1.2,0.35,1,0.5,0.023566,0.35
203,499.95,0.2,0.4,1,0.5,0.009444,0.4001
204,499.95,0.21,0.4,1,0.5,0.009683,0.4
205,499.95,0.22,0.4,1,0.5,0.009714,0.4001
206,499.95,0.23,0.4,1,0.5,0.01015,0.4
207,499.95,0.24,0.4,1,0.5,0.010437,0.4
208,499.95,0.25,0.4,1,0.5,0.010707,0.3997
209,499.95,0.26,0.4,1,0.5,0.01104,0.4
210,499.95,0.27,0.4,1,0.5,0.010952,0.4
211,499.95,0.28,0.4,1,0.5,0.011342,0.4
212,499.95,0.29,0.4,1,0.5,0.011883,0.3999
213,499.95,0.3,0.4,1,0.5,0.012144,0.3998
214,499.95,0.31,0.4,1,0.5,0.011764,0.4
215,499.95,0.32,0.4,1,0.5,0.012164,0.4001
216,499.95,0.33,0.4,1,0.5,0.01228,0.4
217,499.95,0.34,0.4,1,0.5,0.012506,0.4
218,499.95,0.35,0.4,1,0.5,0.011935,0.4001
219,499.95,0.36,0.4,1,0.5,0.012335,0.4001
220,499.95,0.37,0.4,1,0.5,0.012996,0.4
221,499.95,0.38,0.4,1,0.5,0.01307,0.4001
222,499.95,0.39,0.4,1,0.5,0.012277,0.4
223,499.95,0.4,0.4,1,0.5,0.012975,0.3999
224,499.95,0.41,0.4,1,0.5,0.012864,0.4001
225,499.95,0.42,0.4,1,0.5,0.013101,0.4001
226,499.95,0.43,0.4,1,0.5,0.013738,0.4
227,499.95,0.44,0.4,1,0.5,0.012575,0.4
228,499.95,0.45,0.4,1,0.5,0.012968,0.4001
229,499.95,0.46,0.4,1,0.5,0.013361,0.3999
230,499.95,0.47,0.4,1,0.5,0.013557,0.3999
231,499.95,0.48,0.4,1,0.5,0.01305,0.4
232,499.95,0.49,0.4,1,0.5,0.013538,0.4
233,499.95,0.5,0.4,1,0.5,0.013655,0.4001
234,499.95,0.51,0.4,1,0.5,0.013965,0.4
235,499.95,0.52,0.4,1,0.5,0.014648,0.3999
236,499.95,0.53,0.4,1,0.5,0.013443,0.4
237,499.95,0.54,0.4,1,0.5,0.014155,0.3999
238,499.95,0.55,0.4,1,0.5,0.014226,0.4001
239,499.95,0.56,0.4,1,0.5,0.013712,0.4
240,499.95,0.57,0.4,1,0.5,0.014721,0.4
241,499.95,0.58,0.4,1,0.5,0.013807,0.3999
242,499.95,0.59,0.4,1,0.5,0.015019,0.4
243,499.95,0.6,0.4,1,0.5,0.014588,0.3999
244,499.95,0.61,0.4,1,0.5,0.016472,0.4001
245,499.95,0.62,0.4,1,0.5,0.015146,0.4
246,499.95,0.63,0.4,1,0.5,0.015527,0.4
247,499.95,0.64,0.4,1,0.5,0.015548,0.3999
248,499.95,0.65,0.4,1,0.5,0.014473,0.4
249,499.95,0.66,0.4,1,0.5,0.016282,0.4
250,499.95,0.67,0.4,1,0.5,0.015247,0.4
251,499.95,0.68,0.4,1,0.5,0.014574,0.4
252,499.95,0.69,0.4,1,0.5,0.015946,0.4
253,499.95,0.7,0.4,1,0.5,0.015886,0.4002
254,499.95,0.71,0.4,1,0.5,0.016181,0.4001
255,499.95,0.72,0.4,1,0.5,0.016812,0.4
256,499.95,0.73,0.4,1,0.5,0.016643,0.4
257,499.95,0.74,0.4,1,0.5,0.016588,0.4
258,499.95,0.75,0.4,1,0.5,0.016462,0.4002
259,499.95,0.76,0.4,1,0.5,0.016207,0.4001
260,499.95,0.77,0.4,1,0.5,0.017343,0.4
261,499.95,0.78,0.4,1,0.5,0.017672,0.4
262,499.95,0.79,0.4,1,0.5,0.016573,0.4
263,499.95,0.8,0.4,1,0.5,0.017826,0.3999
264,499.95,0.81,0.4,1,0.5,0.017925,0.3999
265,499.95,0.82,0.4,1,0.5,0.017308,0.4
266,499.95,0.83,0.4,1,0.5,0.015975,0.4001
267,499.95,0.84,0.4,1,0.5,0.017319,0.4001
268,499.95,0.85,0.4,1,0.5,0.017227,0.4
269,499.95,0.86,0.4,1,0.5,0.0175,0.4001
270,499.95,0.87,0.4,1,0.5,0.017358,0.4
271,499.95,0.88,0.4,1,0.5,0.018986,0.3999
272,499.95,0.89,0.4,1,0.5,0.015213,0.3999
273,499.95,0.9,0.4,1,0.5,0.017596,0.4001
274,499.95,0.91,0.4,1,0.5,0.016535,0.4
275,499.95,0.92,0.4,1,0.5,0.018414,0.4
276,499.95,0.93,0.4,1,0.5,0.017064,0.4002
277,499.95,0.94,0.4,1,0.5,0.019532,0.3999
278,499.95,0.95,0.4,1,0.5,0.018638,0.4
279,499.95,0.96,0.4,1,0.5,0.018888,0.3998
280,499.95,0.97,0.4,1,0.5,0.019422,0.4001
281,499.95,0.98,0.4,1,0.5,0.018941,0.3999
282,499.95,0.99,0.4,1,0.5,0.018344,0.4001
283,499.95,1.0,0.4,1,0.5,0.017999,0.3999
284,499.95,1.01,0.4,1,0.5,0.019487,0.4001
285,499.95,1.02,0.4,1,0.5,0.018766,0.3999
286,499.95,1.03,0.4,1,0.5,0.018056,0.4001
287,499.95,1.04,0.4,1,0.5,0.019471,0.3999
288,499.95,1.05,0.4,1,0.5,0.019853,0.4
289,499.95,1.06,0.4,1,0.5,0.020548,0.4
290,499.95,1.07,0.4,1,0.5,0.019495,0.4001
291,499.95,1.08,0.4,1,0.5,0.019498,0.4001
292,499.95,1.09,0.4,1,0.5,0.019382,0.4001
293,499.95,1.1,0.4,1,0.5,0.02099,0.4001
294,499.95,1.11,0.4,1,0.5,0.019754,0.3999
295,499.95,1.12,0.4,1,0.5,0.021114,0.4
296,499.95,1.13,0.4,1,0.5,0.020369,0.4001
297,499.95,1.14,0.4,1,0.5,0.019385,0.4001
298,499.95,1.15,0.4,1,0.5,0.020966,0.4001
299,499.95,1.16,0.4,1,0.5,0.019442,0.4001
300,499.95,1.17,0.4,1,0.5,0.021566,0.4
301,499.95,1.18,0.4,1,0.5,0.019039,0.4001
